order_id,order_datetime,day_of_week,hour_of_day,is_weekend,is_peak_hour,month,restaurant_id,restaurant_locality,cuisine_type,delivery_locality,distance_km,partner_id,vehicle_type,partner_experience_months,weather_condition,order_value_inr,estimated_prep_time_min,estimated_delivery_time_min,actual_delivery_time_min,estimated_delivery_datetime,actual_delivery_datetime,delay_minutes,is_delayed,delay_category,distance_bin,experience_bin,value_bin
ORD_000001,2024-08-02 16:11:00,Friday,16,False,False,8,REST_0115,Khar West,Italian,Juhu,10.06,DEL_0138,Bike,2,Heavy rains,913.04,18,52,84,2024-08-02 17:03:00,2024-08-02 17:35:00,32,True,Severely Delayed,8-12km,0-6 months,₹600+
ORD_000002,2024-06-06 19:48:00,Thursday,19,False,True,6,REST_0018,Mulund West,Beverages,Kalyan East,4.24,DEL_0106,Bike,46,Clear,470.27,20,35,39,2024-06-06 20:23:00,2024-06-06 20:27:00,4,True,Slightly Delayed,3-5km,2+ years,₹400-600
ORD_000003,2024-11-10 10:56:00,Sunday,10,True,False,11,REST_0116,Malad East,Beverages,Goregaon West,7.6,DEL_0034,Scooty,45,Cloudy,1179.24,20,47,40,2024-11-10 11:43:00,2024-11-10 11:36:00,-7,False,On Time,5-8km,2+ years,₹600+
ORD_000004,2024-01-24 21:32:00,Wednesday,21,False,True,1,REST_0091,Bandra West,Tibetan,Vile Parle West,14.69,DEL_0089,Bike,45,Light rains,1150.59,15,64,78,2024-01-24 22:36:00,2024-01-24 22:50:00,14,True,Moderately Delayed,12+km,2+ years,₹600+
ORD_000005,2024-04-23 12:47:00,Tuesday,12,False,True,4,REST_0039,Mulund East,Chinese,Jogeshwari,6.67,DEL_0098,Bicycle,55,Light rains,798.77,25,49,95,2024-04-23 13:36:00,2024-04-23 14:22:00,46,True,Severely Delayed,5-8km,2+ years,₹600+
ORD_000006,2024-01-13 20:41:00,Saturday,20,True,True,1,REST_0003,Matunga,South indian,Andheri East,4.91,DEL_0230,Bicycle,17,Heavy rains,1325.47,21,39,81,2024-01-13 21:20:00,2024-01-13 22:02:00,42,True,Severely Delayed,3-5km,1-2 years,₹600+
ORD_000007,2024-06-18 19:52:00,Tuesday,19,False,True,6,REST_0018,Mulund West,Beverages,Dadar West,7.32,DEL_0281,Scooty,11,Clear,983.08,20,46,47,2024-06-18 20:38:00,2024-06-18 20:39:00,1,True,Slightly Delayed,5-8km,6-12 months,₹600+
ORD_000008,2024-01-19 15:09:00,Friday,15,False,False,1,REST_0111,Borivali West,South indian,Goregaon West,10.72,DEL_0121,Scooty,57,Cloudy,542.19,26,63,63,2024-01-19 16:12:00,2024-01-19 16:12:00,0,False,On Time,8-12km,2+ years,₹400-600
ORD_000009,2024-10-10 10:14:00,Thursday,10,False,False,10,REST_0090,Mulund West,Beverages,Mulund West,1.368311724,DEL_0028,Scooty,38,Rainy,1414.41,22,28,50,2024-10-10 10:42:00,2024-10-10 11:04:00,22,True,Severely Delayed,0-3km,2+ years,₹600+
ORD_000010,2024-05-03 18:39:00,Friday,18,False,False,5,REST_0050,Malad West,South indian,Powai,11.08,DEL_0070,Bicycle,44,Cloudy,1008.99,17,55,63,2024-05-03 19:34:00,2024-05-03 19:42:00,8,True,Slightly Delayed,8-12km,2+ years,₹600+
ORD_000011,2024-12-04 15:10:00,Wednesday,15,False,False,12,REST_0077,Goregaon East,Italian,Khar West,12.63,DEL_0273,Scooty,47,Rainy,444.23,26,70,70,2024-12-04 16:20:00,2024-12-04 16:20:00,0,False,On Time,12+km,2+ years,₹400-600
ORD_000012,2024-09-30 20:15:00,Monday,20,False,True,9,REST_0057,Mulund East,Street foodSea food,Ghatkopar East,9.02,DEL_0115,Scooty,23,Cloudy,412.64,16,47,55,2024-09-30 21:02:00,2024-09-30 21:10:00,8,True,Slightly Delayed,8-12km,1-2 years,₹400-600
