order_id,order_datetime,day_of_week,hour_of_day,is_weekend,is_peak_hour,month,restaurant_id,restaurant_locality,cuisine_type,delivery_locality,distance_km,partner_id,vehicle_type,partner_experience_months,weather_condition,order_value_inr,estimated_prep_time_min,estimated_delivery_time_min,actual_delivery_time_min,estimated_delivery_datetime,actual_delivery_datetime,delay_minutes,is_delayed,delay_category
ORD_000001,02-08-2024 16:11,Friday,16,FALSE,FALSE,8,REST_0115,Khar West,Italian,Juhu,10.06,DEL_0138,Bike,2,Heavy rains,913.04,18,52,84,02-08-2024 17:03,02-08-2024 17:35,32,TRUE,Severely Delayed
ORD_000002,06-06-2024 19:48,Thursday,19,FALSE,TRUE,6,REST_0018,Mulund West,Beverages,Kalyan East,4.24,DEL_0106,Bike,46,Clear,470.27,20,35,39,06-06-2024 20:23,06-06-2024 20:27,4,TRUE,Slightly Delayed
ORD_000003,10-11-2024 10:56,Sunday,10,TRUE,FALSE,11,REST_0116,Malad East,Beverages,Goregaon West,7.6,DEL_0034,Scooty,45,Cloudy,1179.24,20,47,40,10-11-2024 11:43,10-11-2024 11:36,-7,FALSE,On Time
ORD_000004,24-01-2024 21:32,Wednesday,21,FALSE,TRUE,1,REST_0091,Bandra West,Tibetan,Vile Parle West,14.69,DEL_0089,Bike,45,Light rains,1150.59,15,64,78,24-01-2024 22:36,24-01-2024 22:50,14,TRUE,Moderately Delayed
ORD_000005,23-04-2024 12:47,Tuesday,12,FALSE,TRUE,4,REST_0039,Mulund East,Chinese,Jogeshwari,6.67,DEL_0098,Bicycle,55,Light rains,798.77,25,49,95,23-04-2024 13:36,23-04-2024 14:22,46,TRUE,Severely Delayed
ORD_000006,13-01-2024 20:41,Saturday,20,TRUE,TRUE,1,REST_0003,Matunga,South indian,Andheri East,4.91,DEL_0230,Bicycle,17,Heavy rains,1325.47,21,39,81,13-01-2024 21:20,13-01-2024 22:02,42,TRUE,Severely Delayed
ORD_000007,18-06-2024 19:52,Tuesday,19,FALSE,TRUE,6,REST_0018,Mulund West,Beverages,Dadar West,7.32,DEL_0281,Scooty,11,Clear,983.08,20,46,47,18-06-2024 20:38,18-06-2024 20:39,1,TRUE,Slightly Delayed
ORD_000008,19-01-2024 15:09,Friday,15,FALSE,FALSE,1,REST_0111,Borivali West,South indian,Goregaon West,10.72,DEL_0121,Scooty,57,Cloudy,542.19,26,63,63,19-01-2024 16:12,19-01-2024 16:12,0,FALSE,On Time
ORD_000009,10-10-2024 10:14,Thursday,10,FALSE,FALSE,10,REST_0090,Mulund West,Beverages,Mulund West,1.368311724,DEL_0028,Scooty,38,Rainy,1414.41,22,28,50,10-10-2024 10:42,10-10-2024 11:04,22,TRUE,Severely Delayed
ORD_000010,03-05-2024 18:39,Friday,18,FALSE,FALSE,5,REST_0050,Malad West,South indian,Powai,11.08,DEL_0070,Bicycle,44,Cloudy,1008.99,17,55,63,03-05-2024 19:34,03-05-2024 19:42,8,TRUE,Slightly Delayed
